rank,n,w,h,d,k,t,sig_bytes,mean_ms,median_ms,min_ms,max_ms,stdev_ms,sk_bytes,pk_bytes
62,16,4,10,2,6,16,0,19.31536,18.9141,16.969,22.8813,2.179093,64,32
63,16,16,12,3,4,32,0,19.3899,19.163,17.2453,22.9914,2.322578,64,32
64,16,4,12,3,8,32,0,19.6897,20.1049,16.7514,24.0772,2.909686,64,32
65,16,16,12,3,6,8,0,19.73514,19.5294,18.6887,20.9621,0.845294,64,32
66,16,16,12,3,6,16,0,20.13052,19.861,17.9333,22.8647,2.271961,64,32
67,16,16,12,3,4,16,0,20.87306,21.4621,19.2376,22.0093,1.179225,64,32
68,16,16,12,3,8,8,0,21.63104,21.352,19.1113,24.6798,1.989357,64,32
69,16,16,12,3,8,32,0,22.65116,21.1908,20.0461,27.796,3.093691,64,32
70,16,16,12,3,6,32,0,22.67386,21.5107,20.5602,26.8285,2.509081,64,32
71,16,16,12,3,4,8,0,23.29622,22.1129,20.9168,26.8696,2.668588,64,32
72,16,64,6,2,8,32,0,23.6603,23.1872,22.7867,24.7031,0.858959,64,32
73,16,64,6,2,8,8,0,25.2361,25.8697,22.8833,26.4262,1.399714,64,32
74,16,64,6,2,6,32,0,25.55344,25.5731,23.4025,28.5981,1.975652,64,32
75,16,64,6,2,4,16,0,25.59864,24.3271,23.0706,29.9219,2.912889,64,32
76,16,16,12,3,8,16,0,25.64084,22.7731,21.8456,36.5927,6.241962,64,32
77,16,64,6,2,8,16,0,26.65484,26.8339,23.1749,29.1005,2.436621,64,32
78,16,64,6,2,4,32,0,28.16106,26.6034,25.0211,32.4014,3.279218,64,32
79,16,64,6,2,4,8,0,28.39134,27.5779,26.0153,32.8775,2.715697,64,32
80,16,64,6,2,6,8,0,28.85276,27.3637,24.6396,34.4086,4.114857,64,32
81,16,64,6,2,6,16,0,30.48596,30.0615,25.6676,37.2879,4.236611,64,32
82,16,4,12,2,8,8,0,35.52474,35.3114,33.6596,37.3847,1.59438,64,32
